responder_id,birth_year,gender,industry_desc,occupation_desc,organization_size,manage_others,household,years_at_job,metro_or_regional,Actual Remote Days,org_encouraged_rw,org_prepared_for_rw,rw_is_common_at_org,rw_permission_is_attainable,rw_collaboration_easy,preferred_rw_percentage_2020,preferred_rw_percentage_future,if_no_covid_employer_encourage_rw,if_no_covid_employer_support_rw,if_no_covid_i_would_have_choice_about_rw,productivity_remote_vs_office,inperson_hours__commuting,inperson_hours__working,inperson_hours__personal_family_time,inperson_hours_domestic_responsibilities,remote_hours_commuting,remote_hours_working,remote_hours_personal_family_time,remote_hours_domestic_responsibilities
730,1965,Female,Other,Professionals,More than 200,No,Single person,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,2-3 days,2-3 days,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,more productive,2,8,6,0.5,0,9,4,0.5
731,1973,Female,Other Services,Sales ,Between 5 and 19,Yes,Couple with dependent children,More than 5 years,Metro,4-5 days,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,1-2 days,1-2 days,Strongly disagree,Strongly disagree,Strongly disagree,more productive,1,7,6,2,1,7,6,2.5
732,1964,Male,Financial and Insurance Services,Managers,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,2-3 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,2-3 days,2-3 days,Strongly agree,Strongly agree,Strongly agree,same productivity,2,9,11,2,0,11,11,2
733,1975,Female,Other Services,Clerical and administrative ,Between 20 and 199,No,Couple with no dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,4-5 days,2-3 days,Somewhat agree,Somewhat agree,Somewhat agree,same productivity,2,6.5,1,1.5,0.5,5,1.5,2
734,1982,Male,"Professional, Scientific and Technical Services",Professionals,More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,2-3 days,2-3 days,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,much more productive,2,9,4,1,0.5,10,2,1
735,1984,Male,Financial and Insurance Services,Clerical and administrative ,More than 200,No,Couple with no dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,1-2 days,Somewhat agree,Somewhat agree,Neither agree nor disagree,much more productive,0.5,8,3,2,0,10,3,2
736,1976,Female,Education and Training,Professionals,More than 200,No,Single person,More than 5 years,Metro,4-5 days,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,3-4 days,2-3 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,much more productive,1,7,4,1,1,7,6,2
737,1976,Male,Education and Training,Professionals,Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Metro,1-2 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,1-2 days,1-2 days,Somewhat agree,Somewhat agree,Somewhat agree,same productivity,2,8.5,3,1,0.5,8,4.5,4
738,1978,Male,Other,Managers,Between 20 and 199,Yes,Couple with dependent children,Between 1 and 5 years,Metro,2-3 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,0-1 days,0-1 days,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,less productive,1,10,2,1,0,12,2,1
739,1976,Female,Other Services,Professionals,Between 20 and 199,No,Group household,Between 1 and 5 years,Metro,4-5 days,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,2-3 days,Somewhat agree,Somewhat agree,Neither agree nor disagree,much more productive,1,6,0.5,0,0.5,7,0,0
740,1981,Female,"Professional, Scientific and Technical Services",Other,More than 200,No,Couple with no dependent children,More than 5 years,Metro,0-1 days,No response,No response,No response,No response,No response,0-1 days,0-1 days,Somewhat agree,Somewhat agree,Somewhat disagree,same productivity,3,9,2,1,1,10,3,1
741,1968,Male,Information Media and Telecommunications,Professionals,Between 20 and 199,No,Single person,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,2-3 days,2-3 days,Somewhat agree,Strongly agree,Strongly agree,more productive,1,8,4,2,0.5,9,4,2
742,1977,Female,Other,Professionals,Between 20 and 199,No,Couple with dependent children,Between 1 and 5 years,Metro,3-4 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,4-5 days,4-5 days,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,same productivity,3,8,7,6,1,8,9,6
743,1970,Male,Information Media and Telecommunications,Managers,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,4-5 days,4-5 days,Strongly agree,Strongly agree,Neither agree nor disagree,same productivity,2,7,4,2,0,10,4,2
744,1972,Male,Health Care and Social Assistance,Managers,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,1-2 days,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,1-2 days,0-1 days,Somewhat agree,Strongly agree,Somewhat agree,more productive,1,8,3,2,0.1,8,4,2
745,1981,Female,Other,Managers,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,2-3 days,2-3 days,Strongly agree,Strongly agree,Strongly agree,same productivity,3,8,3,2,1,9,3,2
746,1970,Male,"Professional, Scientific and Technical Services",Professionals,More than 200,Yes,Single person,Between 6 and 12 months,Metro,3-4 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,3-4 days,2-3 days,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,more productive,2,10,9,3,2,12,8,2
747,1964,Female,Information Media and Telecommunications,Sales ,Between 20 and 199,No,Couple with no dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Somewhat disagree,Somewhat agree,Strongly agree,much more productive,2.05,8,4,2,0,10,4,2
748,1961,Male,Other,Clerical and administrative ,More than 200,No,Group household,More than 5 years,Metro,0-1 days,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,0-1 days,0-1 days,Strongly disagree,Somewhat disagree,Somewhat disagree,same productivity,0.5,8,1,0,0,8,1,0
749,1988,Male,Retail Trade,Clerical and administrative ,More than 200,No,Group household,More than 5 years,Metro,2-3 days,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Strongly agree,4-5 days,4-5 days,Somewhat disagree,Somewhat disagree,Somewhat agree,same productivity,4,7.5,4,1,0,7.5,6,1
750,1976,Male,"Professional, Scientific and Technical Services",Sales ,Between 5 and 19,No,Single person,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,2-3 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,same productivity,1,4,4,0,0,4,4,0
751,1984,Male,Information Media and Telecommunications,Clerical and administrative ,More than 200,No,Couple with no dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,same productivity,3,7,3,1,0,7,4,1
752,1964,Female,Health Care and Social Assistance,Clerical and administrative ,Between 5 and 19,No,Single person,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Strongly agree,Strongly agree,Strongly agree,same productivity,0.5,8,3,2,0,8,3,3
753,1975,Male,Financial and Insurance Services,Managers,Between 20 and 199,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,4-5 days,2-3 days,Somewhat disagree,Somewhat disagree,Somewhat disagree,much more productive,1.5,7.5,0,0,1.5,7.5,0,0
754,1971,Male,Other,Managers,Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Metro,2-3 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,1-2 days,0-1 days,Somewhat agree,Neither agree nor disagree,Somewhat agree,much less productive,1,9,3,3,0.5,8,3,3
755,1973,Female,Other,Clerical and administrative ,Between 5 and 19,No,Couple with no dependent children,Between 6 and 12 months,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,2-3 days,1-2 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,same productivity,3,8,5,1,0.5,8,6,1
756,1971,Female,Other Services,Managers,More than 200,Yes,Single person,More than 5 years,Metro,4-5 days,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,4-5 days,2-3 days,Somewhat disagree,Somewhat disagree,Somewhat disagree,more productive,3,10,6,5,0,12,6,6
757,1971,Female,Other,Clerical and administrative ,More than 200,No,Other one family household,More than 5 years,Metro,4-5 days,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,4-5 days,3-4 days,Somewhat agree,Strongly agree,Strongly agree,much more productive,1,8,3,2,0,8,5,2
758,1966,Male,Other Services,Managers,More than 200,Yes,Single person,More than 5 years,Metro,1-2 days,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,1-2 days,1-2 days,Somewhat agree,Somewhat agree,Somewhat agree,same productivity,1,7,2,2,1,7,1,1
759,1971,Female,Other,Managers,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,4-5 days,4-5 days,Somewhat disagree,Somewhat disagree,Somewhat disagree,much more productive,3,8,3,5,1,10,6,6
760,1977,Female,Other,Clerical and administrative ,More than 200,No,Single person,Between 1 and 5 years,Metro,4-5 days,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,4-5 days,4-5 days,Somewhat agree,Somewhat disagree,Somewhat disagree,much more productive,2.5,8,4.5,1,0,9,6,1
761,1974,Male,"Professional, Scientific and Technical Services",Professionals,Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,2-3 days,Somewhat agree,Somewhat agree,Somewhat agree,same productivity,1.5,9,3,1,0.5,9,4,1
762,1977,Female,Education and Training,Managers,More than 200,Yes,Multiple family household,More than 5 years,Regional,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,1-2 days,Somewhat agree,Somewhat agree,Strongly agree,same productivity,1,8,2,3,0.5,8,2,3
763,1956,Male,Education and Training,Managers,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,3-4 days,2-3 days,Strongly agree,Strongly agree,Somewhat agree,less productive,1,10,2,1,0,12,2,2
764,1964,Female,Health Care and Social Assistance,Professionals,Between 20 and 199,No,Couple with no dependent children,More than 5 years,Metro,0-1 days,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,1-2 days,1-2 days,Strongly disagree,Strongly disagree,Strongly disagree,same productivity,1,8,4,2,0,8,4,3
765,1958,Female,Education and Training,Professionals,Between 20 and 199,Yes,Couple with no dependent children,More than 5 years,Metro,1-2 days,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,4-5 days,3-4 days,Somewhat disagree,Somewhat disagree,Somewhat disagree,same productivity,4,7,5,2,0,7,9,2
766,1966,Male,Financial and Insurance Services,Managers,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,4-5 days,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,much more productive,3,7,3,5,1,8,5,4
767,1959,Male,Financial and Insurance Services,Managers,Between 5 and 19,Yes,Couple with no dependent children,More than 5 years,Metro,2-3 days,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,1-2 days,1-2 days,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,same productivity,1,7,3,2,0.5,7,3,2.5
768,1959,Male,"Professional, Scientific and Technical Services",Professionals,Between 5 and 19,No,Couple with dependent children,More than 5 years,Metro,1-2 days,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,4-5 days,4-5 days,Strongly disagree,Neither agree nor disagree,Strongly disagree,much more productive,2,7.5,3,1,0,8,4,1
769,1961,Male,Other,Managers,I am the only employee,No,Single person,More than 5 years,Metro,3-4 days,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,3-4 days,3-4 days,Strongly agree,Neither agree nor disagree,Strongly agree,same productivity,0,5,0,0,0,5,0,0
770,1978,Male,"Professional, Scientific and Technical Services",Professionals,More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,same productivity,1.5,7.5,3.5,2,0.5,9,3,2.5
771,1989,Male,Retail Trade,Professionals,More than 200,No,Other one family household,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,4-5 days,4-5 days,Somewhat disagree,Somewhat agree,Neither agree nor disagree,more productive,2.5,7.5,5,0.5,0.5,8.5,7,0.5
772,1984,Male,"Professional, Scientific and Technical Services",Professionals,More than 200,Yes,Single person,More than 5 years,Metro,2-3 days,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,1-2 days,1-2 days,Somewhat agree,Somewhat agree,Strongly agree,less productive,0.5,8,5,3,0.2,8,5,3
773,1988,Female,"Professional, Scientific and Technical Services",Professionals,Between 5 and 19,No,Couple with dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,0-1 days,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,much less productive,2,7,2,3,1,8,4,3
774,1989,Female,Other,Clerical and administrative ,Between 1 and 4,No,Couple with no dependent children,More than 5 years,Regional,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Strongly agree,Strongly agree,Strongly agree,same productivity,1,1,2,1,4,1,4,2
775,1986,Male,Other,Professionals,More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro,1-2 days,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,2-3 days,2-3 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,same productivity,1.5,8,4.5,2,0,8,5,3
776,1968,Male,Other,Managers,Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,2-3 days,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,much more productive,2,9,3,2,0,10,2,3
777,1987,Male,Financial and Insurance Services,Professionals,More than 200,No,Single person,Between 6 and 12 months,Metro,4-5 days,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,4-5 days,1-2 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,same productivity,1.5,8,4,0,1,8,4.5,0
778,1981,Female,Other Services,Clerical and administrative ,More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro,2-3 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,2-3 days,2-3 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,same productivity,1,1,1,1,1,1,1,1
779,1966,Male,Other,Managers,Between 5 and 19,Yes,Couple with dependent children,More than 5 years,Regional,0-1 days,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,1-2 days,0-1 days,Strongly disagree,Strongly disagree,Somewhat disagree,less productive,2,7,4,2,1,7,3,5
